Animal ID,,Clutch.ID,Tank.ID,Date.eggs.hatched,Year,Stocking.density,Date.stocked,Date.metamorphosed,Days.to.metamorphosis,Mass.g.metamorphosed,Mark,Fate.comments
Rcap-,1299,Rcap3,3,2/25/11,2011,100,3/11/11,6/27/11,,4.48,2300,
Rcap-,1300,Rcap3,3,2/25/11,2011,100,3/11/11,6/27/11,,4.55,2300,
Rcap-,1301,Rcap3,3,2/25/11,2011,100,3/11/11,6/27/11,,5.1,2300,small tail remaining
Rcap-,1302,Rcap3,3,2/25/11,2011,100,3/11/11,6/27/11,,5,2300,
Rcap-,1327,Rcap3,3,2/25/11,2011,100,3/11/11,6/29/11,,4.08,2300,
Rcap-,1328,Rcap3,3,2/25/11,2011,100,3/11/11,6/29/11,,5.44,2300,
Rcap-,1329,Rcap3,3,2/25/11,2011,100,3/11/11,6/29/11,,5.01,2300,
Rcap-,1339,Rcap3,3,2/25/11,2011,100,3/11/11,7/1/11,,4.3,2300,
Rcap-,1360,Rcap3,3,2/25/11,2011,100,3/11/11,7/6/11,,6.24,2300,
Rcap-,851,Rcap1,4,2/25/11,2011,100,3/11/11,6/2/11,,4.2,na,dead in tank
Rcap-,852,Rcap1,4,2/25/11,2011,100,3/11/11,6/2/11,,4.87,na,dead in tank
Rcap-,895,Rcap1,4,2/25/11,2011,100,3/11/11,6/4/11,,4.33,na,preserved in 95% EtOH
Rcap-,896,Rcap1,4,2/25/11,2011,100,3/11/11,6/4/11,,3.74,B85,"tail remains, B84 was lost"
Rcap-,897,Rcap1,4,2/25/11,2011,100,3/11/11,6/4/11,,4.7,B86,"severe bend in spine, tail remains"
Rcap-,898,Rcap1,4,2/25/11,2011,100,3/11/11,6/4/11,,4.17,B87,
Rcap-,917,Rcap1,4,2/25/11,2011,100,3/11/11,6/5/11,,4.96,na,dead in tank
Rcap-,918,Rcap1,4,2/25/11,2011,100,3/11/11,6/5/11,,3.41,na,dead in tank
Rcap-,919,Rcap1,4,2/25/11,2011,100,3/11/11,6/5/11,,4.95,na,dead in tank
Rcap-,920,Rcap1,4,2/25/11,2011,100,3/11/11,6/5/11,,4.63,C07,small tail
Rcap-,921,Rcap1,4,2/25/11,2011,100,3/11/11,6/5/11,,4.33,C08,small tail
Rcap-,922,Rcap1,4,2/25/11,2011,100,3/11/11,6/5/11,,3.57,C09,small tail
Rcap-,923,Rcap1,4,2/25/11,2011,100,3/11/11,6/5/11,,4.41,C10,small tail
Rcap-,948,Rcap1,4,2/25/11,2011,100,3/11/11,6/6/11,,3.17,C34,small tail remains
Rcap-,949,Rcap1,4,2/25/11,2011,100,3/11/11,6/6/11,,2.84,C35,
Rcap-,950,Rcap1,4,2/25/11,2011,100,3/11/11,6/6/11,,3.57,C36,
Rcap-,951,Rcap1,4,2/25/11,2011,100,3/11/11,6/6/11,,3.55,C37,
