Species,AnimalID#,Clutch.ID,Date.eggs.hatched,Tank.ID,Stocking.density,Year,Date.stocked,Date.metamorphosed,Days.to.metamorphosis,Mass.g.metamorphosed,Mark,Fate.comments,date.alpha.tag.was.inserted
Rcap-,2480,NA,2/25/13,11,145,2013,3/7/13,6/24/13,109,2.93,2500,noted as the 740th individual of the year (excluding mortalities) **this original count was wrong (10/21/2013 VT),not applicable
Rcap-,2403,NA,2/25/13,2,100,2013,3/7/13,6/23/13,108,4.18,2500,,not applicable
Rcap-,2404,NA,2/25/13,2,100,2013,3/7/13,6/23/13,108,3.61,2500,,not applicable
Rcap-,2405,NA,2/25/13,2,100,2013,3/7/13,6/23/13,108,3.28,2500,,not applicable
Rcap-,2406,NA,2/25/13,2,100,2013,3/7/13,6/23/13,108,3.41,2500,,not applicable
Rcap-,2407,NA,2/25/13,2,100,2013,3/7/13,6/23/13,108,3.9,2500,,not applicable
Rcap-,2408,NA,2/25/13,3,100,2013,3/7/13,6/23/13,108,3.24,2500,,not applicable
Rcap-,2409,NA,2/25/13,3,100,2013,3/7/13,6/23/13,108,2.81,2500,,not applicable
Rcap-,2410,NA,2/25/13,3,100,2013,3/7/13,6/23/13,108,4.05,2500,,not applicable
Rcap-,2411,NA,2/25/13,3,100,2013,3/7/13,6/23/13,108,2.75,2500,,not applicable
